"id";"ville";"code";"ville_redressee";"long";"lat";"province";"departement";"type";"poste";"PG";"PP";"L";"E";"B";"SB";"C";"T";"total"
203;"Gex";1173;"Gex";"6.06667";"46.3333";"Bourgogne";"Gex";"D. de la P. Générale";0;;1;;;1;;4;;6
204;"Gien";45155;"Gien";"2.63333";"47.7";"Orléanais";"Orléans";"Brigade";0;;;;;1;;4;;5
205;"Givet";8190;"Givet";"4.81667";"50.1333";"Hainaut";"Valenciennes";"Brigade";1;;;;;;1;4;;5
206;"Gournay";93033;"Gournay-sur-Marne";"2.56667";"48.8667";"Soissonnais";"Clermont";"Brigade";1;;;;;;1;4;;5
208;"Grai";70279;"Gray";"5.58333";"47.45";"Bourgogne";"Vezoul";"Brigade";0;;;;1;;;4;;5
207;"Grasse";6069;"Grasse";"6.91667";"43.6667";"Provence";"Aix";"Brigade";0;;;;;;1;4;;5
209;"Grenade";31232;"Grenade";"1.29361";"43.7722";"Béarn";"Auch";"Brigade";0;;;;;;1;4;;5
210;"Grenoble";38185;"Grenoble";"5.71667";"45.1667";"Dauphiné";"Grenoble";"P. Générale";1;1;;1;1;;1;8;1;13
211;"Guer";56075;"Guer";"-2.11667";"47.9";"Bretagne";"Rennes";"Brigade";1;;;;;;1;4;;5
212;"Gueret";23096;"Guéret";"1.86667";"46.1667";"Bourbonnais";"Gueret";"D. de la P. Générale";0;;;1;;;1;4;;6
213;"Guingamp";22070;"Guingamp";"-3.15";"48.55";"Bretagne";"Rennes";"Brigade";1;;;;;1;;4;;5
214;"Guise";2361;"Guise";"3.63333";"49.9";"Soissonnais";"Laon";"Brigade";1;;;;1;;;4;;5
215;"Haboudange";57281;"Haboudange";"6.61667";"48.8833";"Trois Evêchés";"Metz";"Brigade";1;;;;;;1;4;;5
216;"Haguenau";67180;"Haguenau";"7.78333";"48.8167";"Alsace";"Strasbourg";"Brigade";1;;;;;;1;4;;5
217;"Hennebon";56083;"Hennebont";"-3.28333";"47.8";"Bretagne";"Vannes";"Brigade";1;;;;;1;;4;;5
